p= -5 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -4 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -3 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -2 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -1 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= 0 divFloor(p, sc)= 0 divCeil(p, sc)= 0
p= 1 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 2 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 3 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 4 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 5 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 6 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 7 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 8 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 9 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 10 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 11 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 12 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 13 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 14 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 15 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 16 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 17 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 18 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 19 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 20 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 21 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 22 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 23 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 24 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 25 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 26 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 27 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 28 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 29 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 30 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 31 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 32 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 33 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 34 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 35 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 36 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 37 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 38 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 39 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 40 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 41 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 42 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 43 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 44 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 45 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 46 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 47 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 48 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 49 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 50 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 51 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 52 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 53 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 54 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 55 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 56 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 57 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 58 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 59 divFloor(p, sc)= 0 divCeil(p, sc)= 1
p= 60 divFloor(p, sc)= 0 divCeil(p, sc)= 1
